id;produto;data;valor;moeda
9b53dce184fc4cadbdcff82e35910c8d;Produto_A;2010-01-01;-916.05;BRL
966ce586ae78446b968e82f6a00a90ef;Produto_B;2010-01-01;-252.18;BRL
3fe5c3fd0f704ff6bf20319db121e146;Produto_C;2010-01-01;-855.33;BRL
70615c2827904452801640e0943f0587;Produto_D;2010-01-01;95.94;USD
2d87d07e41624154a8b3407e99f12cf7;Produto_E;2010-01-01;-550.9;BRL
f1516e675ffc4c2684cb4cd436ad2f28;Produto_F;2010-01-01;-821.56;USD
09c742c957e741209270da6ae152a9c1;Produto_G;2010-01-01;-529.47;USD
824fc442054042be862711cb1cae2685;Produto_H;2010-01-01;-662.71;BRL
18cd2e753cbe4afa9fcbfd4151526d6a;Produto_I;2010-01-01;-712.95;BRL
f50efd9cc33b4760b651ed139ab8fcbd;Produto_J;2010-01-01;-821.35;BRL
843dc5edd93b4171a3f4253bb1434373;Produto_A;2010-01-02;-127.76;USD
8ae0e3bf70c94d238ada9913a4eafcec;Produto_B;2010-01-02;-709.84;BRL
db2445551ff54d20b464c8cc803791ee;Produto_C;2010-01-02;-388.75;USD
39bff88b05924cc3a197c15533661191;Produto_D;2010-01-02;-56.73;USD
27bbde6c6d204ed98cd6ccd3b695d1aa;Produto_E;2010-01-02;-672.69;USD
2d6993c4aed842ab96f6f8efe8ae4bda;Produto_F;2010-01-02;-815.92;USD
71ba64283c25461ca27a0b39b51a3f63;Produto_G;2010-01-02;48.45;BRL
e2c897e7f67448d1b4816b963b2330cb;Produto_H;2010-01-02;-681.51;BRL
d18d07aca9964ce8ab4beb76a26e3bd2;Produto_I;2010-01-02;-937.69;BRL
6cb88cc3991e4cef9ff4130637aa3cef;Produto_J;2010-01-02;-811.33;BRL
d1a0c49d0de64310af30f742aa3d6321;Produto_A;2010-01-03;-811.45;USD
1d5f84f293164ea08d8fa9a178387399;Produto_B;2010-01-03;-102.3;USD
20c7548a4107447b9dacf132d74fe833;Produto_C;2010-01-03;0.28;BRL
38bd8e3d0d164b2b9c8714ace1b148c5;Produto_D;2010-01-03;-838.98;BRL
6b8415b38dae4a14bff941b2a43c92e6;Produto_E;2010-01-03;-544.1;BRL
c08f310a8dfc430ca1353ff5cd1f5a59;Produto_F;2010-01-03;-638.6;BRL
604ca18c906a4986ba650f8079ac6132;Produto_G;2010-01-03;-620.63;USD
79cb84cd3b064e1a88d6b8576cd91c95;Produto_H;2010-01-03;-86.94;BRL
737c312d43ff4c2cbd2410b9c6edaf33;Produto_I;2010-01-03;35.14;BRL
639a7006405d4c788f577a757d67133d;Produto_J;2010-01-03;21.34;USD
4e92454265a94aacb134a47f13c64c4e;Produto_A;2010-01-04;13.18;BRL
6a5c5e69082148b6baaac3bfa1ac0cc7;Produto_B;2010-01-04;-456.46;BRL
dbf8f664d3054d43983c2f065dd1661c;Produto_C;2010-01-04;-1000.0;BRL
91058b772dc849478ee22c123694222f;Produto_D;2010-01-04;-74.52;USD
0f0681c667f6463e94b6607ea7754b85;Produto_E;2010-01-04;-580.86;USD
433be677128644bf810e64a4f862b25b;Produto_F;2010-01-04;-293.59;USD
8907127053e44a0a8ccfe41787a2aed3;Produto_G;2010-01-04;-538.3;BRL
